"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population"
"C002",0.03744121,-0.093299529,0.012261197,0.015933414,0.049062826,0.003218982,-0.035076577,0.011941571,-0.011967383,0.204235783,-0.083832678,0.094885045,-0.008653696,-0.035380025,-0.078899897,0.064180667,-0.090849036,-0.114702503,"CRP"
"C003",-0.04802632,-0.101177316,0.051721544,-0.006444989,-0.07519193,-0.070680139,-0.084220927,0.014232603,-0.121363529,0.064031551,0.097176189,-0.14981762,0.149439865,-0.082283124,-0.062224503,-0.116803229,-0.030051398,-0.000185356,"CRP"
"C004",0.070548577,0.058283387,0.074554877,-0.005182484,0.087674691,0.016943309,0.154854686,-0.001007315,-0.001602023,0.126093383,0.127898112,0.146527926,0.070439107,0.066860579,-0.168036511,0.071253489,-0.095776075,-0.074256862,"CRP"
"C005",-0.017124363,-0.119259466,-0.018248835,0.04815331,-0.087190121,-0.023907516,0.040332905,-0.023691116,-0.05307157,-0.462502015,-0.03465556,0.280216995,-0.052917738,-0.052034369,-0.204167584,-0.086546595,0.33503988,0.238127492,"CRP"
"C006",-0.173862169,-0.097389988,-0.111107388,-0.038488279,-0.099190631,-0.022849321,0.026950315,-0.048172543,0.016500975,-0.029291632,0.095042491,-0.484096224,-0.092076921,-0.045863726,-0.011077912,-0.100027805,-0.247284947,-0.032120357,"CRP"
"C008",0.046186686,0.037971346,0.074265322,-0.003814982,0.068786287,0.025365007,0.081519989,-0.013786497,0.043094441,0.178972987,0.150117848,0.183390644,-0.049957283,0.071294117,-0.134350077,0.049535958,0.345580351,-0.047941791,"CRP"
"C009",-0.036109612,-0.010032889,-0.03543559,-0.048953993,-0.049127362,-0.078703653,0.056670522,-0.043348278,0.053285425,-0.183374365,0.183388275,0.099597299,0.079458288,-0.013884537,-0.066145396,-0.069794586,0.1587682,-0.126846473,"CRP"
"C010",0.001868098,-0.044104431,0.044580681,0.061418959,-0.016754634,0.014869787,-0.066508704,0.001405711,0.023917928,0.085799089,-0.022684927,0.437589744,0.036864576,-0.002663753,-0.118335698,-0.019247609,0.096565165,0.02745511,"CRP"
"C013",0.047262885,0.054673198,0.039871131,0.027410529,-0.014392744,-0.050528602,0.026476366,0.032815888,0.008168509,-0.157954401,-0.076254708,-0.103766993,-0.052779585,0.008967203,-0.045056621,0.006083888,0.366296571,0.031389586,"CRP"
"C017",-0.028925799,-0.092765356,0.00616207,-0.011002359,-0.043841218,-0.069679534,-0.060333436,-0.053861185,-0.024697753,-0.018806758,-0.122850726,-0.146468989,-0.034467384,-0.078513329,-0.25337476,-0.024800749,0.087858964,-0.081298406,"CRP"
"C018",0.061359434,0.045401884,0.040197003,0.028347303,0.065844258,-0.056160651,0.053537917,-0.022177301,-0.002883079,0.139482409,-0.133390935,-0.006666929,0.156077001,-0.008868821,-0.078519868,0.034742732,-0.389479917,-0.058334126,"CRP"
"C019",0.104962458,-0.001147495,0.09232766,0.106786183,0.080287573,-0.089213981,0.023147138,-0.069408042,-0.030586268,0.061319738,-0.090966107,0.245745044,-0.150375004,-0.051133155,-0.281162615,0.09081228,0.194582721,-0.023445655,"CRP"
"C021",-0.048165782,-0.080644748,-0.020768677,-0.099987608,0.07821711,0.010074102,0.112561156,0.002546557,-0.064548338,0.153189469,0.171843172,-0.344372881,0.230625617,-0.001736364,-0.033825847,0.023339026,-0.07384597,-0.072348408,"CRP"
"C022",-0.088549585,0.002138222,-0.079634447,0.001120374,-0.080161421,-0.12680838,-0.065732542,-0.020593333,-0.064721853,0.006715802,0.085711131,0.157027491,-0.047584695,-0.036480164,-0.155808058,-0.093447285,-0.253549959,0.012659184,"CRP"
